"country","polyarchy","liberal_democracy","participatory_democracy","deliberative_democracy","egalitarian_democracy","gdp_per_capita","exports","imports","gdp","population"
"Mexico",0.62,0.424,0.374,0.497,0.32,33.886,397535.447,439974.931,429987.309,12690.593
"Suriname",0.755,0.631,0.474,0.61,0.558,27.354,1260.228,1802.011,1632.071,59.676
"Sweden",0.916,0.886,0.663,0.854,0.855,102.222,157939.258,161120.028,106011.107,1037.156
"Switzerland",0.905,0.861,0.806,0.876,0.837,113.976,238904.592,202909.021,100712.5,883.697
"Ghana",0.747,0.636,0.376,0.627,0.546,9.434,9992.942,18078.865,26911.565,2852.894
"South Africa",0.752,0.637,0.501,0.634,0.515,25.611,91026.345,109363.568,147382.095,5754.861
"Japan",0.823,0.747,0.537,0.733,0.746,86.254,690190.037,812206.077,1170203.1,13568.271
"Burma/Myanmar",0.352,0.165,0.214,0.281,0.176,11.896,22498.803,24316.761,65942.186,5543.922
"Russia",0.269,0.108,0.159,0.13,0.202,58.619,497614.862,285843.526,910195.173,15528.238
"Albania",0.527,0.443,0.322,0.289,0.389,23.103,2322.771,5220.865,7224.737,312.726
"Egypt",0.135,0.085,0.051,0.132,0.078,20.502,26692.509,68188.488,198463.561,9680.99
"Yemen",0.301,0.117,0.127,0.157,0.092,7.373,9634.894,15387.227,20574.525,2790.571
"Colombia",0.682,0.553,0.459,0.565,0.412,29.842,54794.812,64028.792,148514.926,4977.201
"Poland",0.884,0.817,0.631,0.744,0.8,51.412,208785.64,210890.926,209370.362,4072.589
"Brazil",0.877,0.784,0.633,0.814,0.621,28.956,225099.606,251965.339,626798.288,21646.657
"United States of America",0.9,0.847,0.653,0.858,0.73,131.003,1623420.675,2345185.753,4511708.745,34441.932
"Portugal",0.887,0.831,0.641,0.814,0.795,58.643,63533.119,77787.615,65178.856,1111.512
"El Salvador",0.666,0.47,0.412,0.464,0.324,14.223,5272.354,10510.258,9471.547,665.958
"Bangladesh",0.281,0.108,0.118,0.134,0.13,7.002,30199.025,45610.279,116662.574,16662.488
"Bolivia",0.646,0.389,0.502,0.491,0.443,12.52,12881.566,10560.1,14282.531,1140.858
"Haiti",0.424,0.246,0.244,0.266,0.127,4.225,986.792,5215.589,4715.349,1116.243
"Honduras",0.428,0.267,0.277,0.281,0.166,10.133,5380.116,10227.461,9498.198,937.445
"Mali",0.539,0.326,0.327,0.448,0.348,3.897,463.579,4222.326,6798.515,1744.878
"Pakistan",0.467,0.286,0.297,0.309,0.16,10.002,27052.102,58945.173,209846.471,20982.204
"Peru",0.82,0.686,0.584,0.654,0.509,23.983,38105.519,46580.645,77111.411,3215.366
"Senegal",0.729,0.584,0.447,0.618,0.543,5.742,2573.249,6048.667,8829.19,1537.712
"South Sudan",0.164,0.067,0.075,0.048,0.036,3.709,NA,NA,4150.043,1118.61
"Sudan",0.216,0.062,0.108,0.056,0.056,8.121,5293.142,9726.29,32748.371,4032.684
"Vietnam",0.147,0.118,0.167,0.183,0.2,12.836,143039.435,144557.595,126367.562,9845.661
"Afghanistan",0.355,0.201,0.144,0.287,0.196,4.2,659.41,7990.761,14697.916,3500.127
"Argentina",0.786,0.604,0.53,0.572,0.625,45.363,69543.855,67007.764,206928.428,4561.8
"Ethiopia",0.229,0.104,0.095,0.148,0.162,3.75,2597.245,16620.351,38814.147,10351.146
"India",0.622,0.492,0.386,0.513,0.382,13.365,317733.218,460512.283,1808355.857,135314.84
"Kenya",0.535,0.422,0.378,0.431,0.33,6.464,6658.721,23048.714,32138.964,4972.328
"North Korea",0.084,0.014,0.045,0.009,0.084,4.101,3287.412,4879.314,10873.048,2651.558
"South Korea",0.71,0.602,0.469,0.561,0.602,82.888,572650.69,525514.045,446473.415,5386.687
"Kosovo",0.588,0.407,0.326,0.386,0.396,15.832,NA,NA,3041.153,192.177
